----------Calculation 1: 101001010111 * 101000101----------
Step 0124: State=57, Head=26, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0125: State=58, Head=27, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0126: State=59, Head=28, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0127: State=59, Head=29, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0128: State=59, Head=30, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0129: State=59, Head=31, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0130: State=59, Head=32, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0131: State=59, Head=33, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0132: State=59, Head=34, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0133: State=59, Head=35, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0134: State=59, Head=36, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0135: State=32, Head=35, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0136: State=32, Head=34, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0137: State=40, Head=33, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0138: State=40, Head=32, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0139: State=40, Head=31, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0140: State=40, Head=30, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0141: State=40, Head=29, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0142: State=40, Head=28, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0143: State=40, Head=27, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
